Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,338.3,341.08,337.19,338.54,338.54,14537900
2022-01-04,339.95,343.09,331.87,336.53,336.53,15998000
2022-01-05,333.02,335.76,323.84,324.17,324.17,20564500
2022-01-06,322.82,339.17,322.72,332.46,332.46,27962800
2022-01-07,332.74,337.0,328.88,331.79,331.79,14722000
2022-01-10,325.31,328.34,315.43,328.07,328.07,24942400
2022-01-11,326.78,334.63,325.28,334.37,334.37,16226800
2022-01-12,335.18,336.37,330.03,333.26,333.26,14104900
2022-01-13,334.98,335.63,325.76,326.48,326.48,14797100
2022-01-14,321.79,332.73,321.21,331.9,331.9,16868500
2022-01-18,323.29,324.21,317.64,318.15,318.15,22645600
2022-01-19,319.58,327.1,319.33,319.59,319.59,20814700
2022-01-20,323.9,327.82,315.98,316.56,316.56,16925000
2022-01-21,314.81,318.31,303.04,303.17,303.17,28710700
2022-01-24,297.84,309.53,289.01,308.71,308.71,38878100
2022-01-25,299.95,306.23,297.58,300.15,300.15,25108500
2022-01-26,307.01,307.51,290.85,294.63,294.63,28348800
2022-01-27,297.75,301.71,294.26,294.64,294.64,21629900
2022-01-28,295.62,301.9,293.03,301.71,301.71,21871600
2022-01-31,300.68,313.79,299.32,313.26,313.26,21579500
2022-02-01,314.56,319.66,312.12,319.0,319.0,18023800
2022-02-02,327.82,328.0,316.87,323.0,323.0,58458300
2022-02-03,244.65,248.0,235.75,237.76,237.76,188119900
2022-02-04,234.97,242.61,230.11,237.09,237.09,89342200
2022-02-07,237.7,238.3,224.01,224.91,224.91,88613800
2022-02-08,220.85,225.77,216.15,220.18,220.18,94729700
2022-02-09,224.2,233.37,222.21,232.0,232.0,86563300
2022-02-10,228.27,235.0,226.7,228.07,228.07,49310400
2022-02-11,228.46,230.42,218.77,219.55,219.55,46156900
2022-02-14,219.31,221.0,214.78,217.7,217.7,38184000
2022-02-15,220.47,221.15,215.06,221.0,221.0,42685500
2022-02-16,212.41,217.46,212.36,216.54,216.54,45817500
2022-02-17,214.02,217.5,207.16,207.71,207.71,38747500
2022-02-18,209.39,210.75,205.18,206.16,206.16,37128400
2022-02-22,202.34,207.48,200.06,202.08,202.08,39852400
2022-02-23,204.16,206.94,198.05,198.45,198.45,44481400
2022-02-24,191.06,208.35,190.22,207.6,207.6,49957200
2022-02-25,204.94,211.32,203.18,210.48,210.48,37627600
2022-02-28,207.68,213.15,206.83,211.03,211.03,34239800
2022-03-01,209.87,211.75,202.22,203.49,203.49,27094900
2022-03-02,204.78,209.15,202.02,208.11,208.11,29452100
2022-03-03,209.02,209.08,201.42,202.97,202.97,27263500
2022-03-04,202.37,205.89,198.79,200.06,200.06,32130900
2022-03-07,200.79,200.89,187.28,187.47,187.47,38560600
2022-03-08,187.85,196.7,186.11,190.29,190.29,37508100
2022-03-09,195.74,199.1,193.92,198.5,198.5,31894700
2022-03-10,194.84,196.28,191.07,195.21,195.21,24853000
2022-03-11,192.64,193.56,186.67,187.61,187.61,34694500
2022-03-14,187.03,192.29,185.82,186.63,186.63,31010500
2022-03-15,190.8,192.28,185.91,192.03,192.03,31721700
2022-03-16,194.7,203.73,194.52,203.63,203.63,40640300
